time, distance
"05:20:43.07" , 3.83
"05:20:43.18" , 3.75
"05:20:43.28" , 3.75
"05:20:43.38" , 3.75
"05:20:43.48" , 3.75
"05:20:43.59" , 3.83
"05:20:43.68" , 3.75
"05:20:43.79" , 3.75
"05:20:43.89" , 3.75
"05:20:43.99" , 3.75
"05:20:44.09" , 3.75
"05:20:44.20" , 3.75
"05:20:44.30" , 3.83
"05:20:44.40" , 3.83
"05:20:44.50" , 3.75
"05:20:44.61" , 3.75
"05:20:44.71" , 3.58
"05:20:44.81" , 3.58
"05:20:44.91" , 3.42
"05:20:45.01" , 3.33
"05:20:45.11" , 3.25
"05:20:45.22" , 3.17
"05:20:45.32" , 3.25
"05:20:45.42" , 3.25
"05:20:45.52" , 3.17
"05:20:45.63" , 3.25
"05:20:45.73" , 3.25
"05:20:45.83" , 3.25
"05:20:45.93" , 3.25
"05:20:46.03" , 3.25
"05:20:46.13" , 3.25
"05:20:46.24" , 3.25
"05:20:46.34" , 3.33
"05:20:46.44" , 3.33
"05:20:46.54" , 3.33
"05:20:46.65" , 3.33
"05:20:46.75" , 3.33
"05:20:46.85" , 3.33
"05:20:46.95" , 3.33
"05:20:47.05" , 3.33
"05:20:47.15" , 3.33
"05:20:47.26" , 3.42
"05:20:47.36" , 3.42
"05:20:47.46" , 3.42
"05:20:47.56" , 3.50
"05:20:47.67" , 3.58
"05:20:47.77" , 3.58
"05:20:47.87" , 3.58
"05:20:47.97" , 3.67
"05:20:48.07" , 3.83
"05:20:48.17" , 3.92
"05:20:48.28" , 4.00
"05:20:48.38" , 9.75
"05:20:48.48" , 11.58
"05:20:48.58" , 11.42
"05:20:48.69" , 11.33
"05:20:48.79" , 16.58
"05:20:48.89" , 18.33
"05:20:48.99" , 18.42
"05:20:49.09" , 18.42
"05:20:49.20" , 17.33
"05:20:49.30" , 10.67
"05:20:49.40" , 10.83
"05:20:49.50" , 20.33
"05:20:49.61" , 20.58
"05:20:49.71" , 12.08
"05:20:49.81" , 20.25
"05:20:49.91" , 20.67
"05:20:50.02" , 20.67
"05:20:50.12" , 19.92
"05:20:50.22" , 20.75
"05:20:50.33" , 20.75
"05:20:50.43" , 12.67
"05:20:50.53" , 20.67
"05:20:50.63" , 19.33
"05:20:50.74" , 19.33
"05:20:50.84" , 20.50
"05:20:50.94" , 18.92
"05:20:51.04" , 20.50
"05:20:51.15" , 18.92
"05:20:51.25" , 19.67
"05:20:51.35" , 18.83
"05:20:51.45" , 18.58
"05:20:51.56" , 18.58
"05:20:51.66" , 18.58
"05:20:51.76" , 19.42
"05:20:51.86" , 20.42
